pr_number,title,pr_modules,model,algorithm,section,decision,user_summary,reason
113,"[omni, rollout, model] feat: Qwen3-Omni Thinker GSPO + LoRA via vLLM-Omni AR rollout","omni,rollout,model",Qwen3-Omni-Thinker,GSPO,"Model & Algorithm Supports",include,"Added Qwen3-Omni Thinker GSPO + LoRA with vLLM-Omni async rollout","Major omni-modality recipe"
168,"[algo] feat: add FlowDPPO support for Qwen-Image Training",algo,Qwen-Image,Flow-DPPO,"Model & Algorithm Supports",include,"Added Flow-DPPO support for Qwen-Image","New algorithm x model path"
106,"[2/N][algo] feat: add DiffusionNFT support for Qwen-Image Training",algo,Qwen-Image,DiffusionNFT,"Model & Algorithm Supports",merge-into-summary,"Added DiffusionNFT support for Qwen-Image","Merged with runnable recipe and NPU coverage"
164,"[recipe,doc] feat: add diffusionnft for Qwen-Image with npu backend","recipe,doc",Qwen-Image,DiffusionNFT,"Model & Algorithm Supports",include,"Added runnable Qwen-Image DiffusionNFT recipe with NPU coverage","Verified recipe plus hardware-facing script"
139,"[diffusion, trainer] feat: online Qwen-Image DPO","diffusion,trainer",Qwen-Image,DPO,"Model & Algorithm Supports",include,"Added online DPO training for Qwen-Image","New direct-preference diffusion workflow"
95,"[diffusion, trainer, data] feat: add offline DPO training for SD3","diffusion,trainer,data",SD3/SD3.5,DPO,"Model & Algorithm Supports",merge-into-summary,"Added offline DPO training flow for SD3-family models","Merged with SD3.5 verification"
127,"[recipe, doc] feat:Add verification for SD35 DPO training on NPU","recipe,doc",SD3.5,DPO,"Model & Algorithm Supports",include,"Verified SD3.5 offline DPO training with NPU documentation","Verified direct-preference recipe"
178,"[trainer, diffusion] feat: add sd3.5 support for flowgrpo training","trainer,diffusion",SD3.5,FlowGRPO,"Model & Algorithm Supports",include,"Added SD3.5 FlowGRPO support","Expands diffusion generator coverage"
98,"[diffusion, model, reward] feat: support Wan22 DanceGRPO text-to-video training","diffusion,model,reward",Wan2.2,DanceGRPO,"Model & Algorithm Supports",include,"Added Wan2.2 DanceGRPO text-to-video training","New video generation RL recipe"
142,"[data, doc, model] fix: Supplement the wan22 example dataset","data,doc,model",Wan2.2,DanceGRPO,"Model & Algorithm Supports",merge-into-summary,"Supplemented Wan2.2 example dataset docs","Supports Wan2.2 recipe readiness"
58,"[algo, trainer, rollout] feat: integrate MixGRPO sliding-window SDE training","algo,trainer,rollout",Qwen-Image,MixGRPO,"Model & Algorithm Supports",include,"Added MixGRPO sliding-window SDE training for Qwen-Image","New algorithm recipe"
48,"[algo] feat: add GRPO-Guard support for Qwen-Image training",algo,Qwen-Image,GRPO-Guard,"Model & Algorithm Supports",include,"Added GRPO-Guard support for Qwen-Image","New stability-focused algorithm recipe"
126,"[recipe, doc] feat: add mixgrpo/grpoguard and full-weight flowgrpo fo...","recipe,doc",Qwen-Image,"MixGRPO, GRPO-Guard, FlowGRPO","Model & Algorithm Supports",include,"Added runnable MixGRPO, GRPO-Guard, and full-weight FlowGRPO recipes","Recipe-facing documentation and scripts"
132,"[1/N][trainer] feat: bagel flowgrpo integration",trainer,BAGEL,FlowGRPO,"Model & Algorithm Supports",merge-into-summary,"Added BAGEL FlowGRPO integration","Merged with follow-up integration PR"
137,"[2/N][trainer] feat: bagel flowgrpo integration",trainer,BAGEL,FlowGRPO,"Model & Algorithm Supports",include,"Completed BAGEL FlowGRPO integration","Unified understand-and-generate model coverage"
